Empresa	Classe	Código	Setor NAICS	Setor	Subsetor	Segmento	Segmento B3
Santos Brp	ON	STBP3	Atividades auxiliares ao transporte aquático	Bens industriais	Transporte	Serviços de apoio e armazenagem	Novo Mercado
Sao Carlos	ON	SCAR3	Locadora de imóveis	Financeiro	Exploração de imóveis	Exploração de imóveis	Novo Mercado
Sao Martinho	ON	SMTO3	Outras outras indústrias	Consumo não cíclico	Alimentos processados	Açúcar e álcool	Novo Mercado
Saraiva Livr	ON	SLED3	Editoras de jornais, revistas, livros e similares	Consumo cíclico	Comércio	Produtos diversos	Nível 2
Saraiva Livr	PN	SLED4	Editoras de jornais, revistas, livros e similares	Consumo cíclico	Comércio	Produtos diversos	Nível 2
Schulz	ON	SHUL3	Indústria de autopeças	Bens industriais	Máquinas e equipamentos	Motores compressores e outros	Tradicional
Schulz	PN	SHUL4	Indústria de autopeças	Bens industriais	Máquinas e equipamentos	Motores compressores e outros	Tradicional
Seg Al Bahia	ON	CSAB3	Seguradora	Financeiro	Previdência e seguros	Seguradoras	Tradicional
Seg Al Bahia	PN	CSAB4	Seguradora	Financeiro	Previdência e seguros	Seguradoras	Tradicional
Sequoia Log	ON	SEQL3	Transporte rodoviário	Bens industriais	Serviços diversos	Serviços diversos	Novo Mercado
Ser Educa	ON	SEER3	Escola de ensino superior	Consumo cíclico	Diversos	Serviços educacionais	Novo Mercado
Sid Nacional	ON	CSNA3	Transformação de aço em produtos de aço	Materiais básicos	Siderurgia e metalurgia	Siderurgia	Tradicional
Simpar	ON	SIMH3	Transporte rodoviário	Financeiro	Holdings diversificadas	Holdings diversificadas	Novo Mercado
Sinqia	ON	SQIA3	Editoras de software	Tecnologia da informação	Programas e serviços	Programas e serviços	Novo Mercado
SLC Agricola	ON	SLCE3	Agricultura	Consumo não cíclico	Agropecuária	Agricultura	Novo Mercado
Smart Fit	ON	SMFT3	Outras indústrias da recreação	Consumo cíclico	Viagens e lazer	Atividades esportivas	Bovespa Mais Nível 2
Smiles	ON	SMLS3	Outros serviços de apoio	Consumo cíclico	Diversos	Programas de fidelização	Novo Mercado
Sondotecnica	ON	SOND3	Consultoria administrativa, científica e técnica	Bens industriais	Construção e engenharia	Engenharia consultiva	Tradicional
Sondotecnica	PNA	SOND5	Consultoria administrativa, científica e técnica	Bens industriais	Construção e engenharia	Engenharia consultiva	Tradicional
Sondotecnica	PNB	SOND6	Consultoria administrativa, científica e técnica	Bens industriais	Construção e engenharia	Engenharia consultiva	Tradicional
Springs	ON	SGPS3	Indústria de roupas de tecido	Consumo cíclico	Tecidos vestuário e calçados	Fios e tecidos	Novo Mercado
SPturis	ON	AHEB3	Outros serviços de apoio	Consumo cíclico	Viagens e lazer	Produção de eventos e shows	Tradicional
SPturis	PNA	AHEB5	Outros serviços de apoio	Consumo cíclico	Viagens e lazer	Produção de eventos e shows	Tradicional
SPturis	PNB	AHEB6	Outros serviços de apoio	Consumo cíclico	Viagens e lazer	Produção de eventos e shows	Tradicional
Stara	ON	STTR3	Industria de máquinas agrícolas, de construção e mineração	Bens industriais	Máquinas e equipamentos	Máq. e equip. construção e agrícolas	Bovespa Mais
Statkraft	ON	STKF3	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Tradicional
Sudeste	ON	OPSE3B	Administração de empresas e empreendimentos	Outros	Outros	Outros	Balcão Organizado
Sul 116 Part	ON	OPTS3B	Telecomunicações	Outros	Outros	Outros	Balcão Organizado
Sul America	ON	SULA3	Seguradora	Financeiro	Previdência e seguros	Seguradoras	Nível 2
Sul America	PN	SULA4	Seguradora	Financeiro	Previdência e seguros	Seguradoras	Nível 2
Sul America	UNT N2	SULA11	Seguradora	Financeiro	Previdência e seguros	Seguradoras	Nível 2
Suzano Hold	ON	NEMO3	Administração de empresas e empreendimentos	Materiais básicos	Madeira e papel	Papel e celulose	Tradicional
Suzano Hold	PNA	NEMO5	Administração de empresas e empreendimentos	Materiais básicos	Madeira e papel	Papel e celulose	Tradicional
Suzano Hold	PNB	NEMO6	Administração de empresas e empreendimentos	Materiais básicos	Madeira e papel	Papel e celulose	Tradicional
Suzano S.A.	ON	SUZB3	Indústria de papel, celulose e papelão	Materiais básicos	Madeira e papel	Papel e celulose	Novo Mercado
Taesa	ON	TAEE3	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Nível 2
Taesa	PN	TAEE4	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Nível 2
Taesa	UNT N2	TAEE11	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Nível 2
Taurus Armas	ON	TASA3	Outras indústrias de produtos de metal	Bens industriais	Máquinas e equipamentos	Armas e munições	Nível 2
Taurus Armas	PN	TASA4	Outras indústrias de produtos de metal	Bens industriais	Máquinas e equipamentos	Armas e munições	Nível 2
Technos	ON	TECN3	Outras indústrias	Consumo cíclico	Tecidos vestuário e calçados	Acessórios	Novo Mercado
Tecnisa	ON	TCSA3	Construção de edifícios residenciais	Consumo cíclico	Construção civil	Incorporações	Novo Mercado
Tecnosolo	ON	TCNO3	Consultoria administrativa, científica e técnica	Bens industriais	Construção e engenharia	Engenharia consultiva	Tradicional
Tecnosolo	PN	TCNO4	Consultoria administrativa, científica e técnica	Bens industriais	Construção e engenharia	Engenharia consultiva	Tradicional
Tegma	ON	TGMA3	Atividades auxiliares ao transporte	Bens industriais	Transporte	Transporte rodoviário	Novo Mercado
Teka	ON	TEKA3	Indústria de roupas de tecido	Consumo cíclico	Tecidos vestuário e calçados	Fios e tecidos	Tradicional
Teka	PN	TEKA4	Indústria de roupas de tecido	Consumo cíclico	Tecidos vestuário e calçados	Fios e tecidos	Tradicional
Tekno	ON	TKNO3	Outras indústrias de produtos de metal	Materiais básicos	Siderurgia e metalurgia	Artefatos de ferro e aço	Tradicional
Tekno	PN	TKNO4	Outras indústrias de produtos de metal	Materiais básicos	Siderurgia e metalurgia	Artefatos de ferro e aço	Tradicional
Telebras	ON	TELB3	Telecomunicações	Comunicações	Telecomunicações	Telecomunicações	Tradicional
Telebras	PN	TELB4	Telecomunicações	Comunicações	Telecomunicações	Telecomunicações	Tradicional
Telef Brasil	ON	VIVT3	Telecomunicações	Comunicações	Telecomunicações	Telecomunicações	Tradicional
Tenda	ON	TEND3	Construção de edifícios residenciais	Consumo cíclico	Construção civil	Incorporações	Novo Mercado
Terra Santa	ON	TESA3	Outras outras indústrias	Consumo não cíclico	Agropecuária	Agricultura	Novo Mercado
Tex Renaux	ON	TXRX3	Tecelagens	Consumo cíclico	Tecidos vestuário e calçados	Fios e tecidos	Tradicional
Tex Renaux	PN	TXRX4	Tecelagens	Consumo cíclico	Tecidos vestuário e calçados	Fios e tecidos	Tradicional
Tim	ON	TIMS3	Telecomunicações	Comunicações	Telecomunicações	Telecomunicações	Novo Mercado
Time For Fun	ON	SHOW3	Apresentações artísticas	Consumo cíclico	Viagens e lazer	Produção de eventos e shows	Novo Mercado
Totvs	ON	TOTS3	Editoras de software	Tecnologia da informação	Programas e serviços	Programas e serviços	Novo Mercado
Track Field	PN	TFCO4	Loja de roupas	Consumo cíclico	Tecidos vestuário e calçados	Vestuário	Nível 2
Tran Paulist	ON	TRPL3	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Nível 1
Tran Paulist	PN	TRPL4	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Nível 1
Trevisa	ON	LUXM3	Administração de empresas e empreendimentos	Bens industriais	Transporte	Transporte hidroviário	Tradicional
Trevisa	PN	LUXM4	Administração de empresas e empreendimentos	Bens industriais	Transporte	Transporte hidroviário	Tradicional
Trisul	ON	TRIS3	Construção de edifícios residenciais	Consumo cíclico	Construção civil	Incorporações	Novo Mercado
Triunfo Part	ON	TPIS3	Atividades auxiliares ao transporte rodoviário	Bens industriais	Transporte	Exploração de rodovias	Novo Mercado
Tupy	ON	TUPY3	Indústria de autopeças	Bens industriais	Material de transporte	Material rodoviário	Novo Mercado
Ultrapar	ON	UGPA3	Comércio atacadista de petróleo e produtos de petróleo	Petróleo gás e biocombustíveis	Petróleo gás e biocombustíveis	Exploração refino e distribuição	Novo Mercado
Unicasa	ON	UCAS3	Indústria de móveis e afins	Consumo cíclico	Utilidades domésticas	Móveis	Novo Mercado
Unipar	ON	UNIP3	Indústria química	Materiais básicos	Químicos	Químicos diversos	Tradicional
Unipar	PNA	UNIP5	Indústria química	Materiais básicos	Químicos	Químicos diversos	Tradicional
Unipar	PNB	UNIP6	Indústria química	Materiais básicos	Químicos	Químicos diversos	Tradicional
Uptick	ON	UPKP3B	Empresa de eletricidade, gás e água	Utilidade pública	Energia elétrica	Energia elétrica	Balcão Organizado
Usiminas	ON	USIM3	Transformação de aço em produtos de aço	Materiais básicos	Siderurgia e metalurgia	Siderurgia	Nível 1
Usiminas	PNA	USIM5	Transformação de aço em produtos de aço	Materiais básicos	Siderurgia e metalurgia	Siderurgia	Nível 1
Usiminas	PNB	USIM6	Transformação de aço em produtos de aço	Materiais básicos	Siderurgia e metalurgia	Siderurgia	Nível 1
Vale	ON	VALE3	Mineração de metais	Materiais básicos	Mineração	Minerais metálicos	Novo Mercado
Valid	ON	VLID3	Impressão e atividades auxiliares	Bens industriais	Serviços diversos	Serviços diversos	Novo Mercado
Vamos	ON	VAMO3	Serviços de locação e leasing	Consumo cíclico	Diversos	Aluguel de carros	Novo Mercado
Viavarejo	ON	VVAR3	Loja de departamentos	Consumo cíclico	Comércio	Eletrodomésticos	Novo Mercado
Vivara S.A.	ON	VIVA3	Loja de jóias, malas e artigos de couro	Consumo cíclico	Tecidos vestuário e calçados	Acessórios	Novo Mercado
Viver	ON	VIVR3	Construção de edifícios residenciais	Consumo cíclico	Construção civil	Incorporações	Novo Mercado
Vulcabras	ON	VULC3	Indústria de calçados	Consumo cíclico	Tecidos vestuário e calçados	Calçados	Novo Mercado
Weg	ON	WEGE3	Indústria de motores, turbinas e transmissores de energia	Bens industriais	Máquinas e equipamentos	Motores compressores e outros	Novo Mercado
Westwing	ON	WEST3	Comércio atacadista de bens duráveis	Tecnologia da informação	Programas e serviços	Programas e serviços	Novo Mercado
Wetzel S/A	ON	MWET3	Indústria de autopeças	Bens industriais	Material de transporte	Material rodoviário	Tradicional
Wetzel S/A	PN	MWET4	Indústria de autopeças	Bens industriais	Material de transporte	Material rodoviário	Tradicional
Whirlpool	ON	WHRL3	Indústria de eletrodomésticos	Consumo cíclico	Utilidades domésticas	Eletrodomésticos	Tradicional
Whirlpool	PN	WHRL4	Indústria de eletrodomésticos	Consumo cíclico	Utilidades domésticas	Eletrodomésticos	Tradicional
Wilson Sons	ON	WSON33	Atividades auxiliares ao transporte aquático	Bens industriais	Transporte	Serviços de apoio e armazenagem	BDR nível 3
Wiz S.A	ON	WIZS3	Corretora de seguros	Financeiro	Previdência e seguros	Corretoras de seguros	Novo Mercado
Wlm Ind Com	ON	WLMM3	Concessionárias de outros veículos motorizados	Bens industriais	Comércio	Material de transporte	Tradicional
Wlm Ind Com	PN	WLMM4	Concessionárias de outros veículos motorizados	Bens industriais	Comércio	Material de transporte	Tradicional
Yduqs Part	ON	YDUQ3	Escola de ensino superior	Consumo cíclico	Diversos	Serviços educacionais	Novo Mercado
